-1 1:24.1565648081 2:5.60258008299 3:1.56843184647 4:215 5:215 6:215 7:30 8:11 9:4 10:12.2612280212 11:13.520508289 12:16.8064112104 13:36654.0 14:36649.0 15:40610.0 
-1 1:14.2301648081 2:3.83421991701 3:10.0052318465 4:25 5:25 6:25 7:19 8:1 9:6 10:15.6054124874 11:16.1612615788 12:18.9304210541 13:39492.0 14:39965.0 15:42922.0 
-1 1:11.7869648081 2:5.74061991701 3:11.2340318465 4:20 5:20 6:20 7:16 8:2 9:7 10:15.4586196329 11:16.770224802 12:19.0941732133 13:40460.0 14:40470.0 15:44744.0 
-1 1:11.9889648081 2:7.95221991701 3:16.4180318465 4:20 5:20 6:20 7:16 8:5 9:13 10:14.5620146578 11:15.3987658624 12:17.9560396843 13:41639.0 14:42346.0 15:47208.0 
-1 1:19.0689648081 2:1.09501991701 3:10.3504318465 4:32 5:32 6:32 7:24 8:3 9:6 10:13.6410700681 11:14.9326600368 12:17.8521723183 13:39991.0 14:40772.0 15:45402.0 
-1 1:17.0245648081 2:0.554180082988 3:4.31003184647 4:29 5:29 6:29 7:21 8:4 9:0 10:15.3001489599 11:16.1362543581 12:18.8897869207 13:37546.0 14:37335.0 15:40424.0 
-1 1:0.918564808091 2:13.911419917 3:18.2780318465 4:247 5:247 6:247 7:5 8:12 9:15 10:15.3796281385 11:16.245855897 12:18.8270978084 13:42964.0 14:41852.0 15:45669.0 
-1 1:1.18023519191 2:15.292219917 3:20.4412318465 4:245 5:245 6:245 7:2 8:13 9:18 10:15.3373079118 11:15.9026863532 12:17.7065882958 13:44246.0 14:43111.0 15:46888.0 
-1 1:4.59303519191 2:20.782219917 3:27.3312318465 4:3 5:3 6:3 7:0 8:18 9:23 10:14.0892103902 11:14.1728231782 12:16.1641980229 13:46087.0 14:46659.0 15:50379.0 
-1 1:0.383035191909 2:17.870219917 3:25.6720318465 4:5 5:5 6:5 7:4 8:15 9:22 10:13.7377311824 11:14.721818563 12:16.9139778524 13:44202.0 14:45183.0 15:50225.0 
-1 1:4.89936480809 2:9.70101991701 3:14.5192318465 4:17 5:17 6:17 7:9 8:7 9:11 10:16.1361641075 11:17.0059222859 12:19.3119122921 13:40496.0 14:39803.0 15:43394.0 
-1 1:10.2614351919 2:19.010619917 3:21.9624318465 4:0 5:0 6:0 7:6 8:16 9:19 10:14.1929389151 11:13.8383030634 12:14.7391598313 13:48017.0 14:46562.0 15:50729.0 
-1 1:16.3410351919 2:28.788219917 3:35.0572318465 4:3 5:3 6:3 7:11 8:25 9:31 10:13.9188862962 11:14.6158358445 12:17.0871900347 13:49071.0 14:48631.0 15:51929.0 
-1 1:16.1338351919 2:29.626219917 3:36.0936318465 4:2 5:2 6:2 7:11 8:25 9:31 10:12.9821488548 11:13.8745352376 12:17.1177018692 13:49036.0 14:48748.0 15:51532.0 
-1 1:9.56543519191 2:24.220219917 3:30.5752318465 4:3 5:3 6:3 7:5 8:21 9:27 10:15.0147308709 11:15.3142255823 12:17.5516548662 13:46453.0 14:46674.0 15:50947.0 
1 1:13.6374351919 2:23.204619917 3:26.5600318465 4:251 5:251 6:251 7:9 8:20 9:22 10:14.1882320483 11:15.0777679441 12:17.8815487756 13:44305.0 14:43087.0 15:44963.0 
1 1:9.71463519191 2:10.641380083 3:17.3727681535 4:0 5:0 6:0 7:6 8:11 9:20 10:13.7586223525 11:1.43629259471 12:0.204600828901 13:47879.0 14:41678.0 15:41878.0 
1 1:14.1610351919 2:10.318580083 3:18.8655681535 4:2 5:2 6:2 7:9 8:12 9:21 10:12.7413513336 11:6.65834485781 12:8.33557213 13:47923.0 14:39271.0 15:38588.0 
1 1:12.8394351919 2:16.530180083 3:24.6407681535 4:1 5:1 6:1 7:8 8:22 9:31 10:11.5564069909 11:2.72574877718 12:1.764230814 13:48090.0 14:41193.0 15:42059.0 
1 1:22.5674351919 2:29.102219917 3:33.7244318465 4:6 5:6 6:6 7:18 8:26 9:31 10:12.5095786929 11:10.9788073009 12:12.5589549578 13:50652.0 14:48959.0 15:50230.0 
1 1:20.3254351919 2:19.149419917 3:19.4648318465 4:13 5:13 6:13 7:16 8:22 9:23 10:13.8038706159 11:2.7309748849 12:0.215731043724 13:49477.0 14:46234.0 15:48260.0 
-1 1:15.3106351919 2:26.103019917 3:30.5580318465 4:5 5:5 6:5 7:10 8:22 9:26 10:14.3977528135 11:15.1376351794 12:18.2112900773 13:48611.0 14:47112.0 15:49172.0 
-1 1:9.51343519191 2:18.533819917 3:21.8300318465 4:3 5:3 6:3 7:5 8:16 9:18 10:15.8778544224 11:15.9593268558 12:17.811494135 13:44347.0 14:41558.0 15:44174.0 
1 1:9.76103519191 2:3.52938008299 3:7.64916815353 4:1 5:1 6:1 7:5 8:5 9:9 10:11.329502935 11:0.319468030428 12:2.20563257885 13:46310.0 14:40118.0 15:39893.0 
1 1:11.1814351919 2:26.470980083 3:38.0659681535 4:5 5:5 6:5 7:8 8:28 9:40 10:9.33576233796 11:3.691147847 12:7.38654448827 13:48561.0 14:38885.0 15:37606.0 
1 1:14.0198351919 2:26.334580083 3:37.8803681535 4:5 5:5 6:5 7:10 8:29 9:42 10:14.1424138126 11:11.9787217286 12:14.7106674544 13:48264.0 14:37407.0 15:35791.0 
1 1:16.0206351919 2:13.100580083 3:21.8155681535 4:5 5:5 6:5 7:12 8:18 9:28 10:13.615035008 11:7.79883534546 12:7.00481181552 13:49574.0 14:40739.0 15:40395.0 
1 1:26.1654351919 2:8.32461991701 3:2.51603184647 4:18 5:18 6:18 7:23 8:5 9:2 10:12.1188917321 11:3.23092043002 12:1.86038442371 13:50539.0 14:44086.0 15:43678.0 
1 1:22.1982351919 2:3.57058008299 3:12.0279681535 4:6 5:6 6:6 7:17 8:9 9:20 10:13.1755205901 11:6.51499672276 12:5.84205062266 13:49860.0 14:42815.0 15:42036.0 
-1 1:22.9734351919 2:31.786619917 3:35.9540318465 4:13 5:13 6:13 7:19 8:29 9:33 10:13.6981646806 11:14.0181353925 12:17.4302287708 13:50069.0 14:48730.0 15:50073.0 
1 1:8.05023519191 2:33.797780083 3:44.5971681535 4:1 5:1 6:1 7:6 8:32 9:46 10:11.044635222 11:5.57173234992 12:9.57895558288 13:45342.0 14:32879.0 15:32312.0 
1 1:19.9362351919 2:10.256980083 3:22.8583681535 4:8 5:8 6:8 7:15 8:12 9:26 10:12.7646442539 11:9.90015371562 12:12.2863312725 13:50313.0 14:40403.0 15:39763.0 
1 1:20.5446351919 2:17.484980083 3:32.0875681535 4:9 5:9 6:9 7:16 8:21 9:37 10:14.9738001036 11:12.0615132293 12:14.9323086401 13:49862.0 14:39104.0 15:36509.0 
1 1:15.7106351919 2:24.029380083 3:35.4567681535 4:3 5:3 6:3 7:10 8:28 9:40 10:11.880632781 11:10.3353288415 12:13.4860278402 13:50407.0 14:39248.0 15:37794.0 
1 1:31.7386351919 2:1.29418008299 3:13.1183681535 4:24 5:24 6:24 7:28 8:5 9:18 10:11.8390870278 11:12.0825531776 12:15.4648117469 13:52576.0 14:43953.0 15:41386.0 
1 1:24.5194351919 2:3.10981991701 3:4.90916815353 4:14 5:14 6:14 7:20 8:1 9:11 10:13.8040545275 11:13.1880060982 12:13.6671572133 13:50813.0 14:43902.0 15:43655.0 
-1 1:22.9486351919 2:29.096619917 3:32.0076318465 4:13 5:13 6:13 7:19 8:26 9:28 10:13.4624157809 11:14.4414751961 12:17.4161883725 13:49529.0 14:47101.0 15:48209.0 
1 1:3.76023519191 2:39.864180083 3:50.9191681535 4:2 5:2 6:2 7:0 8:42 9:55 10:11.1667468519 11:4.69610680256 12:9.02978658814 13:46743.0 14:35349.0 15:33556.0 
1 1:16.7426351919 2:17.287380083 3:29.7991681535 4:8 5:8 6:8 7:12 8:21 9:34 10:12.8049267026 11:5.60296681294 12:8.18119345363 13:48662.0 14:39504.0 15:37713.0 
1 1:24.1250351919 2:5.74178008299 3:20.4583681535 4:11 5:11 6:11 7:20 8:10 9:26 10:15.0167935813 11:12.8540541613 12:15.3608997734 13:50260.0 14:40423.0 15:37419.0 
1 1:17.8214351919 2:20.448580083 3:30.6643681535 4:8 5:8 6:8 7:13 8:24 9:35 10:13.5643534357 11:11.885848441 12:14.4431535095 13:50268.0 14:40440.0 15:39003.0 
1 1:28.2038351919 2:9.13218008299 3:20.1663681535 4:17 5:17 6:17 7:24 8:12 9:24 10:12.6189762431 11:11.7600213214 12:14.8865315967 13:53056.0 14:44002.0 15:42295.0 
1 1:23.3410351919 2:7.89418008299 3:17.9683681535 4:16 5:16 6:16 7:19 8:7 9:19 10:12.100074456 11:3.76634179164 12:7.44576500831 13:52147.0 14:43680.0 15:42244.0 
-1 1:7.15303519191 2:14.391019917 3:16.1052318465 4:245 5:245 6:245 7:3 8:12 9:13 10:16.4217814413 11:15.8460940223 12:18.0658572157 13:43968.0 14:42136.0 15:44041.0 
1 1:2.06263519191 2:25.241380083 3:31.2927681535 4:11 5:11 6:11 7:2 8:30 9:40 10:11.7930324476 11:6.31251217803 12:6.78440327808 13:44842.0 14:35809.0 15:35624.0 
